Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID,keywords_cleaned,Main Domain
Singh S.; Sarkar S.,"Singh, Soumyendra (57221223135); Sarkar, Suman (57212316724)",57221223135; 57212316724,Stochastic Stability Analysis and Numerical Simulation of the Stochastic FitzHugh–Nagumo Equation Based on Physics Informed Neural Networks,2025,International Journal of Applied and Computational Mathematics,11,3,100,,,,0,10.1007/s40819-025-01915-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004854353&doi=10.1007%2fs40819-025-01915-9&partnerID=40&md5=9fb53e0df5dc7adf5e40392a5c54d3b2,Coupled stochastic differential equation; Loss function; Physics-informed neural networks; RmsProp optimization; Stochastic stability,Article,Final,,Scopus,2-s2.0-105004854353,"coupled stochastic differential equation, loss function, physics-informed neural networks, rmsprop optimization, stochastic stability",AI
Diviya M.; Subramanian M.,"Diviya, M. (57191361356); Subramanian, M. (57243514300)",57191361356; 57243514300,Wood species classification using prototypical networks: a few shot learning model,2025,Journal of the Indian Academy of Wood Science,22,1,,116,127,11,0,10.1007/s13196-025-00366-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217245055&doi=10.1007%2fs13196-025-00366-5&partnerID=40&md5=52bebfced99175270e1988a465304253,Accuracy; Alexnet; F1 score; Few shot learning; Lenet; Prototypical network,Article,Final,,Scopus,2-s2.0-85217245055,"accuracy, alexnet, f1 score, few shot learning, lenet, prototypical network",Networks
Srivastava A.; Narayanan V.A.; Sumesh A.K.,"Srivastava, Amisha (59460158600); Narayanan, V. Anantha (57212350499); Sumesh, A.K. (57190678326)",59460158600; 57212350499; 57190678326,Malicious Attack Detection Using Deep Learning in IoT Network,2025,Lecture Notes in Electrical Engineering,1281 LNEE,,,33,48,15,0,10.1007/978-981-97-8422-6_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213353156&doi=10.1007%2f978-981-97-8422-6_3&partnerID=40&md5=5dc8437aac9c7847dbe6c571450a8452,Anomaly detection; Decision Tree; Deep learning; Feature extraction; GRU; LSTM; Machine learning; UNSW-NB 15,Conference paper,Final,,Scopus,2-s2.0-85213353156,"anomaly detection, decision tree, deep learning, feature extraction, gru, lstm, machine learning, unsw-nb 15",AI
Kumar S.; Ahijith Kumar P.V.; Bharati K.; Patnaik L.; Maity S.R.; Łepicka M.,"Kumar, Sunil (57378147900); Ahijith Kumar, P.V. (59182835800); Bharati, Kiran (59177145400); Patnaik, Lokeswar (57191823650); Maity, Saikat Ranjan (57210456580); Łepicka, Magdalena (55982409100)",57378147900; 59182835800; 59177145400; 57191823650; 57210456580; 55982409100,"Correction to: Coating material selection for bulk metal forming dies: A MEREC-integrated approach with multiple MCDM methods (International Journal on Interactive Design and Manufacturing (IJIDeM), (2025), 19, 6, (4055-4070), 10.1007/s12008-024-01983-z)",2025,International Journal on Interactive Design and Manufacturing,19,6,,4071,,,0,10.1007/s12008-024-02044-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201014303&doi=10.1007%2fs12008-024-02044-1&partnerID=40&md5=3ccffee07a0321c0827ab86b38d1fb96,,Erratum,Final,,Scopus,2-s2.0-85201014303,,Materials Science
Muthulakshmi M.; Yasashwini Sai Gowri P.,"Muthulakshmi, M. (57201588260); Yasashwini Sai Gowri, P. (59948876200)",57201588260; 59948876200,Effective Date Fruit Type Detection Using Activation Configuration Tuned State of the Art Deep CNN Architectures,2025,"International Conference on Smart Systems for Applications in Electrical Sciences, ICSSES 2025",,,,,,,0,10.1109/ICSSES64899.2025.11010022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008282567&doi=10.1109%2fICSSES64899.2025.11010022&partnerID=40&md5=2f7bb54c22e19a35177b8fe76977330a,ELU; Inception V3; LeakyReLU; MobileNetV2; ReLU; ResNet-50; Swish,Conference paper,Final,,Scopus,2-s2.0-105008282567,"elu, inception v3, leakyrelu, mobilenetv2, relu, resnet-50, swish",Deep Learning
Patil N.J.; Vishnuraj R.; Mani G.K.; Rangarajan M.; Srinivasan P.,"Patil, Nikita J. (59480106500); Vishnuraj, Ramakrishnan (57209437818); Mani, Ganesh Kumar (57211795276); Rangarajan, Murali (36615603600); Srinivasan, Parthasarathy (15837800800)",59480106500; 57209437818; 57211795276; 36615603600; 15837800800,Silver decorated CuO-mesoporous graphitic carbon nitride as electrochemical sweat sensor for sensing ammonium ions: A membrane-free voltammetric approach,2025,Electrochimica Acta,535,,146716,,,,0,10.1016/j.electacta.2025.146716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008100748&doi=10.1016%2fj.electacta.2025.146716&partnerID=40&md5=3d1234d1fcd6e47112a15e1404321863,Ag-CuO-MGCN nanointerface; Ammonium ion; Artificial sweat; Electrochemical biosensor; Ion-selective membrane free,Article,Final,,Scopus,2-s2.0-105008100748,"ag-cuo-mgcn nanointerface, ammonium ion, artificial sweat, electrochemical biosensor, ion-selective membrane free",IoT
Singh R.; Das L.; Chaudhary D.,"Singh, Rahul (59442330500); Das, Laxminarayan (57211340899); Chaudhary, Dharminder (57210165312)",59442330500; 57211340899; 57210165312,Building Scalable and Quantum Attack Resistant Authenticated Message Delivery System for Internet of Vehicles With Blockchain Consensus Mechanism,2025,Concurrency and Computation: Practice and Experience,37,09-Nov,e70071,,,,0,10.1002/cpe.70071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002445325&doi=10.1002%2fcpe.70071&partnerID=40&md5=06f97c822ced65911b8294f79626936b,aggregate signature; authentication; blockchain technology; internet of vehicles; privacy; security,Article,Final,,Scopus,2-s2.0-105002445325,"aggregate signature, authentication, blockchain technology, internet of vehicles, privacy, security",Blockchain
Anbuchezhiyan G.; Ananth G.; M V.; Logesh K.; Mubarak N.M.; Natarajan E.,"Anbuchezhiyan, G. (57194269022); Ananth, G. (58235907500); M, Vignesh (56324289800); Logesh, K. (56199378800); Mubarak, Nabisab Mujawar (36634677600); Natarajan, Elango (55211206400)",57194269022; 58235907500; 56324289800; 56199378800; 36634677600; 55211206400,Microstructural transition from ZrO₂ to Zr–Al intermetallics and property evolution in AA5051 composites,2025,Journal of Materials Research and Technology,35,,,2377,2384,7,1,10.1016/j.jmrt.2025.01.201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216215205&doi=10.1016%2fj.jmrt.2025.01.201&partnerID=40&md5=255ee8603a6776d25db9f1bccfcdaaf7,Al5051 alloy; Corrosion; Grain refinement; Mechanical properties; Squeeze casting; Wear rate,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85216215205,"al5051 alloy, corrosion, grain refinement, mechanical properties, squeeze casting, wear rate",Materials Science
Aishwarya N.; Chandhana C.; Yasashwini Sai G.P.; Suresh Babu R.T.,"Aishwarya, N. (36808965900); Chandhana, C. (59896089000); Yasashwini Sai, Gowri P. (59898686400); Suresh Babu, Rakesh Thoppaen (59444595600)",36808965900; 59896089000; 59898686400; 59444595600,A Hybrid Approach using modified ResNet18 for Marine Mammal Sound classification,2025,Procedia Computer Science,257,,,864,871,7,0,10.1016/j.procs.2025.03.111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005189239&doi=10.1016%2fj.procs.2025.03.111&partnerID=40&md5=6c60f77935eb2f6620d3c770b5857ec3,Marine Mammal Conservation; ResNet 18; Spectrograms; Whale Sound Detection,Conference paper,Final,,Scopus,2-s2.0-105005189239,"marine mammal conservation, resnet 18, spectrograms, whale sound detection",Deep Learning
Tekumudi V.S.S.C.; Ramanathan A.,"Tekumudi, Vivek Sai Surya Chaitanya (59743689000); Ramanathan, Annamalai (59744354300)",59743689000; 59744354300,HybridViT: An Approach for Alzheimer’s Disease Classification with ADNI Neuroimaging Data,2025,SN Computer Science,6,4,356,,,,0,10.1007/s42979-025-03862-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003008380&doi=10.1007%2fs42979-025-03862-0&partnerID=40&md5=f49fbe0df3af4c39ff3daccdc490c284,Alzheimer’s disease (AD); Alzheimer’s disease neuroimaging initiative (ADNI); HybridViT; Pre-trained models; Vision transformer,Article,Final,,Scopus,2-s2.0-105003008380,"alzheimer’s disease (ad), alzheimer’s disease neuroimaging initiative (adni), hybridvit, pre-trained models, vision transformer",Medical Imaging
Kausal S.D.; Saranya G.,"Kausal, S.D. (59333144800); Saranya, G. (57208758125)",59333144800; 57208758125,Performance Paradox: Evaluating Machine Learning and Deep Learning Strategies for Enhanced Mobile Security,2025,"ESIC 2025 - 5th International Conference on Emerging Systems and Intelligent Computing, Proceedings",,,,847,852,5,0,10.1109/ESIC64052.2025.10962743,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004552689&doi=10.1109%2fESIC64052.2025.10962743&partnerID=40&md5=fb31f3f2c740a7f89b907aeae2be05e0,Cybersecurity; Deep Learning; Deep Neural Network(DNN); Machine Learning; Malware Detection; Mobile Malware; Mobile Security; Predictive Accuracy,Conference paper,Final,,Scopus,2-s2.0-105004552689,"cybersecurity, deep learning, deep neural network(dnn), machine learning, malware detection, mobile malware, mobile security, predictive accuracy",Cybersecurity
Mukesh K.; Jayaprakash S.L.; Prasanna Kumar R.,"Mukesh, K. (57939247600); Jayaprakash, S.L. (58829802400); Prasanna Kumar, R. (58196810600)",57939247600; 58829802400; 58196810600,DSAF: A Dual-Stage Attention Based Multimodal Fusion Framework for Medical Visual Question Answering,2025,SN Computer Science,6,4,349,,,,0,10.1007/s42979-025-03868-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002652311&doi=10.1007%2fs42979-025-03868-8&partnerID=40&md5=1958d8fab83a12663989e4ab9f5342d8,Data fusion; Dual-stage attention; Multimodal learning; Vision language model; Visual reasoning,Article,Final,,Scopus,2-s2.0-105002652311,"data fusion, dual-stage attention, multimodal learning, vision language model, visual reasoning",Medical AI
Ravichandran M.; Lekkala C.H.; Rohith S.H.,"Ravichandran, M. (59631599300); Lekkala, Chetan Harsha (59793196900); Rohith, Sannareddy Hema (59793197000)",59631599300; 59793196900; 59793197000,Motorcycle Rider Accident Crash Impact Detection using Force Sensing Resistor - A COMSOL based Analysis,2025,"ESIC 2025 - 5th International Conference on Emerging Systems and Intelligent Computing, Proceedings",,,,312,317,5,0,10.1109/ESIC64052.2025.10962757,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004557962&doi=10.1109%2fESIC64052.2025.10962757&partnerID=40&md5=ad898867526439395590423fd4ce4d13,crash impact detection; emergency response system; force-sensitive resistor; helmet sensors; motorcycle safety; real-time impact analysis; rider protection system; road accident detection; smart helmet; Two-wheeler safety,Conference paper,Final,,Scopus,2-s2.0-105004557962,"crash impact detection, emergency response system, force-sensitive resistor, helmet sensors, motorcycle safety, real-time impact analysis, rider protection system, road accident detection, smart helmet, two-wheeler safety",Others
Vijay A.S.; Akash V.; Venkatasubramanian K.,"Vijay, A.S. (59949203600); Akash, V. (59888898400); Venkatasubramanian, K. (59565957200)",59949203600; 59888898400; 59565957200,Smart and Effective Real-Time Management of Street Parking,2025,"International Conference on Smart Systems for Applications in Electrical Sciences, ICSSES 2025",,,,,,,0,10.1109/ICSSES64899.2025.11009971,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008286256&doi=10.1109%2fICSSES64899.2025.11009971&partnerID=40&md5=70b195619b9c7960598262e903dadb3b,Firebase Firestore; Parking space optimization; Raspberry Pi 4; Real-time object detection; Smart parking; Urban mobility; YOLO v5,Conference paper,Final,,Scopus,2-s2.0-105008286256,"firebase firestore, parking space optimization, raspberry pi 4, real-time object detection, smart parking, urban mobility, yolo v5",Smart Cities
Sriram S.; Tharaniesh P.R.; Saraf P.; Vijayaraj N.; Murugan T.,"Sriram, Suthir (55612195000); Tharaniesh, P.R. (58916572500); Saraf, Priyanka (59384493300); Vijayaraj, Nivethitha (55616349600); Murugan, Thangavel (56419983300)",55612195000; 58916572500; 59384493300; 55616349600; 56419983300,Enhancing Digital Identity and Access Control in Event Management Systems Using Sui Blockchain,2025,IEEE Access,13,,,24295,24308,13,1,10.1109/ACCESS.2025.3539107,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217665429&doi=10.1109%2fACCESS.2025.3539107&partnerID=40&md5=ffe2705dc39e933e2ebf406b639ce709,Digital tickets; non-fungible tokens (NFTs); smart contracts; Sui blockchain; Suiet wallet; ticketing security; transaction management; zkLogin,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85217665429,"digital tickets, non-fungible tokens (nfts), smart contracts, sui blockchain, suiet wallet, ticketing security, transaction management, zklogin",Blockchain
Sri Varshan P.; Harigaran R.; Vamsi Krishna V.,"Sri Varshan, P. (59094385100); Harigaran, R. (58981334100); Vamsi Krishna, V. (59772792400)",59094385100; 58981334100; 59772792400,Amyotrophic lateral sclerosis Disease Detection Through Facial Expression Analysis,2025,"2025 International Conference on Ambient Intelligence in Health Care, ICAIHC 2025",,,,,,,0,10.1109/ICAIHC64101.2025.10956283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004282988&doi=10.1109%2fICAIHC64101.2025.10956283&partnerID=40&md5=acabdbc44f22603d79c58505d34a3db2,Amyotrophic lateral sclerosis; Facial Landmark; Mediapipe; microexpression; OpenCV,Conference paper,Final,,Scopus,2-s2.0-105004282988,"amyotrophic lateral sclerosis, facial landmark, mediapipe, microexpression, opencv",Medical AI
Pallavi G.; Prasanna Kumar R.,"Pallavi, Gundala (58996946100); Prasanna Kumar, Rangarajan (58196810600)",58996946100; 58196810600,"Quantum natural language processing and its applications in bioinformatics: a comprehensive review of methodologies, concepts, and future directions",2025,Frontiers in Computer Science,7,,1464122,,,,0,10.3389/fcomp.2025.1464122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000069785&doi=10.3389%2ffcomp.2025.1464122&partnerID=40&md5=80fe75e686a0e52955f9eb25a3ea2972,bioinformatics; drug discovery; genome analysis; knowledge extraction; protein prediction; quantum natural language processing; sustainability,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-86000069785,"bioinformatics, drug discovery, genome analysis, knowledge extraction, protein prediction, quantum natural language processing, sustainability",NLP
Sujjanth R.B.; Thanusri V.; Saranya G.,"Sujjanth, R.B. (59791959300); Thanusri, V. (59156268700); Saranya, G. (57208758125)",59791959300; 59156268700; 57208758125,"ULTRON: A Multi-Functional, Privacy-Centric Framework for Reconnaissance and Security Analysis on the Dark Web",2025,"ESIC 2025 - 5th International Conference on Emerging Systems and Intelligent Computing, Proceedings",,,,625,629,4,0,10.1109/ESIC64052.2025.10962794,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004560572&doi=10.1109%2fESIC64052.2025.10962794&partnerID=40&md5=32acfdde5f30ef2df2e52220a48a445d,Anonymity; Dark Web Exploration; Multithreading; Onion Domains; Reconnaissance; Security Reporting; Tor Network,Conference paper,Final,,Scopus,2-s2.0-105004560572,"anonymity, dark web exploration, multithreading, onion domains, reconnaissance, security reporting, tor network",Networks
Diviya M.; Yenumula S.S.,"Diviya, M. (57191361356); Yenumula, Siva Sandeep (59932307700)",57191361356; 59932307700,Secured Data Access for Alzheimer's Patients Using Blockchain And Machine Learning: A Novel Approach,2025,"2025 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation, IATMSI 2025",,,,,,,0,10.1109/IATMSI64286.2025.10984932,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007428942&doi=10.1109%2fIATMSI64286.2025.10984932&partnerID=40&md5=73be0a49f80597a3b66bbefd6e651bfe,Alzheimer's disease; Blockchain; data privacy; Data security; decentralized storage; IPFS; Machine Learning; Smart contracts; XGBoost,Conference paper,Final,,Scopus,2-s2.0-105007428942,"alzheimer's disease, blockchain, data privacy, data security, decentralized storage, ipfs, machine learning, smart contracts, xgboost",Blockchain
Vikram K.; Bhaumik S.; Pramanik S.,"Vikram, Kamlendra (57220033401); Bhaumik, Shubrajit (56097330800); Pramanik, Sumit (57195245135)",57220033401; 56097330800; 57195245135,"Impact of graphite on tribo-mechanical, structural, and thermal behaviors of polyoxymethylene copolymer/glass fiber hybrid composites via Taguchi optimization",2025,Polymer Composites,46,2,,1768,1787,19,1,10.1002/pc.29072,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204436885&doi=10.1002%2fpc.29072&partnerID=40&md5=fc7a6a3d179cc86b6450f399cacfeaca,ANOVA; COF; graphite; POM C; specific wear rate; tribology,Article,Final,,Scopus,2-s2.0-85204436885,"anova, cof, graphite, pom c, specific wear rate, tribology",Mechanical Engineering
Kumar G.S.; Suganya E.; Sountharrajan S.; Balusamy B.; Khadidos A.O.; Khadidos A.O.; Selvarajan S.,"Kumar, G. Sathish (57217065933); Suganya, E. (57194427618); Sountharrajan, S. (57192169178); Balusamy, Balamurugan (59504589500); Khadidos, Adil O. (57045995500); Khadidos, Alaa O. (57213160277); Selvarajan, Shitharth (59463112800)",57217065933; 57194427618; 57192169178; 59504589500; 57045995500; 57213160277; 59463112800,SRADHO: statistical reduction approach with deep hyper optimization for disease classification using artificial intelligence,2025,Scientific Reports,15,1,1245,,,,2,10.1038/s41598-024-82838-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214419963&doi=10.1038%2fs41598-024-82838-1&partnerID=40&md5=53d4d80d8bd587d0aa6ced784c5a6e9b,Bayesian optimization; Deep hyper optimization; Feature selection; Singular matrix; Statistical reduction approach,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85214419963,"bayesian optimization, deep hyper optimization, feature selection, singular matrix, statistical reduction approach",Machine Learning
Balaji M.; Bashpika T.; Anitha G.; Pattanaik B.,"Balaji, M. (59092635300); Bashpika, Tadikonda (58852642000); Anitha, G. (57561110500); Pattanaik, Balachandra (54420927600)",59092635300; 58852642000; 57561110500; 54420927600,"AI-Based Surveillance System for Women’s Safety at Night Using YOLO, DeepMAR, and Low-Light Image Enhancement",2025,"Proceedings - 3rd International Conference on Advancement in Computation and Computer Technologies, InCACCT 2025",,,,290,295,5,0,10.1109/InCACCT65424.2025.11011336,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007745652&doi=10.1109%2fInCACCT65424.2025.11011336&partnerID=40&md5=a1e3ea809b38248340afc7491361c87e,DeepMAR; Inception-ResNet-v2; Low-Light Image Enhancement; Proximity calculation; Resnet-50; YOLOv10,Conference paper,Final,,Scopus,2-s2.0-105007745652,"deepmar, inception-resnet-v2, low-light image enhancement, proximity calculation, resnet-50, yolov10",Computer Vision
